,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,port elizabeth,100,ZA,1586633707,72,60.8,-33.92,25.57,3.36
1,petropavlovsk-kamchatskiy,40,RU,1586633972,79,23,53.05,158.65,4.47
2,saskylakh,19,RU,1586633972,90,0.82,71.92,114.08,14.94
3,yellowknife,20,CA,1586633846,52,16,62.46,-114.35,12.75
4,ozernovskiy,0,RU,1586633714,91,29.57,51.5,156.52,2.82
5,berlevag,88,NO,1586633746,88,25.02,70.86,29.09,3.15
6,guerrero negro,10,MX,1586633787,49,67.06,27.98,-114.06,17.31
7,mataura,97,NZ,1586633972,76,53.01,-46.19,168.86,3
8,butaritari,95,KI,1586633973,76,83.98,3.07,172.79,13.35
9,trinidad,31,BO,1586633973,48,86,-14.83,-64.9,2.24
10,mumford,88,GH,1586633973,83,81.41,5.26,-0.76,6.35
11,hami,36,CN,1586633973,22,53.04,42.8,93.45,1.7
12,vilyuysk,99,RU,1586633973,97,29.97,63.76,121.62,9.78
13,bluff,100,NZ,1586633732,76,53.01,-46.6,168.33,3
14,bairiki,40,KI,1586633974,83,82.4,1.33,172.98,6.93
15,korla,9,CN,1586633974,41,57.99,41.76,86.15,4
16,vredendal,75,ZA,1586633974,85,65.21,-31.67,18.5,6.13
17,tromso,90,NO,1586633974,95,32,69.65,18.96,20.8
18,new norfolk,75,AU,1586633974,66,51.01,-42.78,147.06,8.05
19,ekimchan,0,RU,1586633975,87,27.52,53.07,132.97,1.7
20,saint-augustin,100,CA,1586633975,96,32.36,51.23,-58.65,5.59
21,college,75,US,1586633975,63,35.01,64.86,-147.8,6.93
22,altamira,68,BR,1586633975,82,79.09,-3.2,-52.21,2.04
23,dikson,100,RU,1586633975,96,14.29,73.51,80.55,10.11
24,hilo,75,US,1586633975,65,81,19.73,-155.09,4.7
25,saint george,1,US,1586633976,41,66.99,37.1,-113.58,4.7
26,upernavik,100,GL,1586633976,89,20.88,72.79,-56.15,0.98
27,eganville,40,CA,1586633976,30,45,45.53,-77.1,11.41
28,hermanus,100,ZA,1586633976,70,71.01,-34.42,19.23,11.99
29,avarua,87,CK,1586633976,88,82.4,-21.21,-159.78,5.82
30,katsuura,75,JP,1586633976,93,50,35.13,140.3,11.41
31,kahului,1,US,1586633977,73,77,20.89,-156.47,13.87
32,tuktoyaktuk,75,CA,1586633977,84,-2.2,69.45,-133.04,6.93
33,hithadhoo,0,MV,1586633977,65,84.56,-0.6,73.08,6.38
34,ushuaia,75,AR,1586633977,70,44.6,-54.8,-68.3,26.4
35,pringsewu,65,ID,1586633744,89,74.89,-5.36,104.97,1.74
36,middelburg,7,ZA,1586633978,35,61.21,-25.78,29.46,2.53
37,provideniya,99,RU,1586633978,97,30.79,64.38,-173.3,4.03
38,zhigansk,98,RU,1586633978,97,24.91,66.77,123.37,11.34
39,port lincoln,81,AU,1586633978,64,56.75,-34.73,135.87,7.05
40,nkayi,90,CG,1586633978,86,75.79,-4.18,13.29,2.59
41,honningsvag,100,NO,1586633978,92,29.82,70.98,25.97,6.53
42,busselton,85,AU,1586633978,57,70,-33.65,115.33,8.48
43,poshekhonye,0,RU,1586633978,89,27.95,58.5,39.14,1.92
44,clyde river,75,CA,1586633979,92,6.8,70.47,-68.59,14.99
45,albany,75,US,1586633979,52,46.99,42.6,-73.97,13.87
46,tiksi,34,RU,1586633979,92,11.32,71.69,128.87,21.36
47,hobart,75,AU,1586633980,66,51.01,-42.88,147.33,8.05
48,east london,100,ZA,1586633864,74,73.42,-33.02,27.91,5.82
49,avera,1,US,1586633980,20,75,33.19,-82.53,9.17
50,kununurra,97,AU,1586633980,83,77,-15.77,128.73,4.7
51,karratha,0,AU,1586633981,53,81.09,-20.74,116.85,9.17
52,kapaa,20,US,1586633684,65,78.8,22.08,-159.32,5.82
53,tubigan,1,PH,1586633981,74,76.08,8.53,124.31,2.71
54,saldanha,97,ZA,1586633981,88,64.4,-33.01,17.94,8.05
55,ribeira grande,20,PT,1586633981,77,64.4,38.52,-28.7,3.36
56,lakes entrance,98,AU,1586633981,68,53.01,-37.88,147.98,5.01
57,kendari,100,ID,1586633982,92,74.07,-3.94,122.5,2.19
58,rikitea,78,PF,1586633982,74,77.04,-23.12,-134.97,1.34
59,sompeta,0,IN,1586633982,66,80.13,18.93,84.6,9.08
60,hue,99,VN,1586633982,93,74.3,16.47,107.6,2.71
61,sisimiut,96,GL,1586633982,79,35.49,66.94,-53.67,6.69
62,punta arenas,40,CL,1586633945,61,50,-53.15,-70.92,20.8
63,murillo,75,CO,1586633982,62,84.2,4.87,-75.17,5.82
64,saint-philippe,33,RE,1586633983,78,75.2,-21.36,55.77,4.7
65,bredasdorp,100,ZA,1586633983,56,71.6,-34.53,20.04,9.17
66,cabo san lucas,75,MX,1586633695,49,80.01,22.89,-109.91,23.04
67,ancud,20,CL,1586633983,62,53.6,-41.87,-73.82,8.05
68,ilulissat,75,GL,1586633785,92,32,69.22,-51.1,9.17
69,tasiilaq,40,GL,1586633983,90,32,65.61,-37.64,11.41
